Championship title,Team A,Team B,Date / Time,Section,Status,Result
الدوري التركي,ريزه سبور,غازي عنتاب بي.بي.كي,03/17/2024 - 12:30,الأسبوع الثلاثون,لم تبدأ,- - -
الدوري التركي,هاتاي سبور,سامسون سبور,03/17/2024 - 15:00,الأسبوع الثلاثون,لم تبدأ,- - -
الدوري التركي,قاسم باشا,جالاتا سراي,03/17/2024 - 15:00,الأسبوع الثلاثون,لم تبدأ,- - -
الدوري التركي,طرابزون سبور,فنربخشة,03/17/2024 - 19:30,الأسبوع الثلاثون,لم تبدأ,- - -
الدوري البرتغالي,موريرنسي,أروكا,03/17/2024 - 17:30,الأسبوع السادس والعشرون,لم تبدأ,- - -
الدوري البرتغالي,شافيش,فيتوريا جيماريش,03/17/2024 - 17:30,الأسبوع السادس والعشرون,لم تبدأ,- - -
الدوري البرتغالي,كازا بيا,بنفيكا,03/17/2024 - 20:00,الأسبوع السادس والعشرون,لم تبدأ,- - -
الدوري البرتغالي,سبورتينج لشبونة,بوافيستا,03/17/2024 - 22:30,الأسبوع السادس والعشرون,لم تبدأ,- - -
دوري نجوم قطر,المرخية الرياضي,نادي قطر,03/17/2024 - 20:30,الأسبوع الثامن عشر,لم تبدأ,- - -
دوري نجوم قطر,الغرافة,الريان,03/17/2024 - 20:30,الأسبوع الثامن عشر,لم تبدأ,- - -
مباريات ودية - منتخبات,مصر - أولمبي,الإمارات - الأولمبي,03/20/2024 - 18:00,مباراة ودية,لم تبدأ,- - -
مباريات ودية - منتخبات,نيوزيلندا,مصر,03/22/2024 - 18:00,مبارة ودية,لم تبدأ,- - -
الدوري الإنجليزي,تشيلسي,توتنهام هوتسبر,03/23/2024 - 22:00,الأسبوع السادس والعشرون,مؤجل,- - -
دوري نجوم قطر,الشمال,الأهلي القطري,03/29/2024 - 20:30,الأسبوع التاسع عشر,لم تبدأ,- - -
دوري نجوم قطر,ام صلال,معيذر,03/29/2024 - 20:30,الأسبوع التاسع عشر,لم تبدأ,- - -
الدوري الإنجليزي,نيوكاسل,وست هام يونايتد,03/30/2024 - 14:30,الأسبوع الثلاثون,لم تبدأ,- - -
الدوري الإنجليزي,توتنهام هوتسبر,لوتون تاون,03/30/2024 - 17:00,الأسبوع الثلاثون,لم تبدأ,- - -
الدوري الإنجليزي,بورنموث,ايفرتون,03/30/2024 - 17:00,الأسبوع الثلاثون,لم تبدأ,- - -
الدوري الإنجليزي,شيفيلد يونايتد,فولهام,03/30/2024 - 17:00,الأسبوع الثلاثون,لم تبدأ,- - -
الدوري الإنجليزي,تشيلسي,بيرنلي,03/30/2024 - 17:00,الأسبوع الثلاثون,لم تبدأ,- - -
الدوري الإنجليزي,نوتينجهام فورست,كريستال بالاس,03/30/2024 - 17:00,الأسبوع الثلاثون,لم تبدأ,- - -
الدوري الإنجليزي,أستون فيلا,وولفرهامبتون,03/30/2024 - 19:30,الأسبوع الثلاثون,لم تبدأ,- - -
الدوري الإنجليزي,برينتفورد,مانشستر يونايتد,03/30/2024 - 22:00,الأسبوع الثلاثون,لم تبدأ,- - -
دوري نجوم قطر,العربي,الغرافة,03/30/2024 - 20:30,الأسبوع التاسع عشر,لم تبدأ,- - -
دوري نجوم قطر,نادي قطر,الوكرة,03/30/2024 - 20:30,الأسبوع التاسع عشر,لم تبدأ,- - -
الدوري المصري,الجونة,المقاولون العرب,03/31/2024 - 21:30,الأسبوع السابع عشر,لم تبدأ,- - -
الدوري المصري,الإسماعيلي,سموحة,03/31/2024 - 21:30,الأسبوع السابع عشر,لم تبدأ,- - -
الدوري المصري,سيراميكا كليوباترا,زد,03/31/2024 - 21:30,الأسبوع السابع عشر,لم تبدأ,- - -
الدوري الإنجليزي,ليفربول,برايتون,03/31/2024 - 15:00,الأسبوع الثلاثون,لم تبدأ,- - -
الدوري الإنجليزي,مانشستر سيتي,أرسنال,03/31/2024 - 17:30,الأسبوع الثلاثون,لم تبدأ,- - -
دوري نجوم قطر,المرخية الرياضي,السد القطري,03/31/2024 - 20:30,الأسبوع التاسع عشر,لم تبدأ,- - -
دوري نجوم قطر,الريان,الدحيل,03/31/2024 - 20:30,الأسبوع التاسع عشر,لم تبدأ,- - -
